agency_id,agency_name,services_offered,top_clients,region,contact_email,phone_number
488,Prime Sports Elite,"Player representation, financial advisory, career development","Lamine Yamal, Kenan Yıldız","Spain, Turkey, Germany",contact@primesportselite.com,+34 6 234 5678
489,Summit International Management,"Scouting analytics, sponsorship brokering, club negotiations","Vitor Roque, Claudio Echeverri","Brazil, Argentina, Spain",contact@summitinternationalmgmt.com,+55 21 456 7890
490,Legacy Global Sports,"Youth scouting, market valuation, media consulting","João Neves, Warren Zaïre-Emery","Portugal, France, England",contact@legacyglobalsports.com,+351 22 789 0123
491,Infinity Football Network,"Athlete branding, legal advisory, tactical consulting","Endrick, Romeo Lavia","Brazil, Belgium, Spain",contact@infinityfootballnetwork.com,+55 11 345 6789
492,Champion Elite Representation,"Contract negotiations, digital marketing, sponsorship acquisition","Malick Fofana, Ethan Nwaneri","Belgium, England, Germany",contact@championeliterep.com,+32 4 678 9012
493,Visionary Sports Advisory,"Club transfers, scouting operations, performance analytics","Ousmane Diomande, Valentin Barco","Ivory Coast, Argentina, Italy",contact@visionarysportsadvisory.com,+225 20 567 8901
494,Dominance NextGen Talent,"Career mentorship, financial planning, strategic branding","Matheus Gonçalves, Gabriele Biancheri","Brazil, Italy, England",contact@dominancenextgentalent.com,+55 21 678 2345
495,Summit Future Stars,"Market analysis, contract structuring, sponsorship deals","Gabriel Moscardo, Claudio Echeverri","Brazil, Argentina, Spain",contact@summitfuturestars.com,+55 11 345 6789
496,Elite Performance Consultancy,"Athlete development, sponsorship acquisition, tactical training","Lewis Miley, Roony Bardghji","England, Sweden, Germany",contact@eliteperformanceconsultancy.com,+46 8 789 0123
497,Visionary Football Evolution,"Scouting analytics, media representation, international transfers","Ethan Nwaneri, Angelo Gabriel","England, Portugal, Brazil",contact@visionaryfootballevolution.com,+44 20 567 8901
498,Pinnacle Elite Sports,"Scouting reports, sponsorship negotiations, contract structuring","Lamine Yamal, Claudio Echeverri","Spain, Argentina, France",contact@pinnacleelitesports.com,+34 6 345 6789
499,Summit Global Representation,"Player branding, media training, career planning","Vitor Roque, João Neves","Brazil, Portugal, Spain",contact@summitglobalrep.com,+351 22 678 9012
500,Legacy Pro Sports,"Legal representation, sponsorship brokering, talent scouting","Warren Zaïre-Emery, Malick Fofana","France, Belgium, Germany",contact@legacyprosports.com,+33 7 456 7890
501,Infinity NextGen Management,"Market valuation, digital marketing, club networking","Endrick, Kenan Yıldız","Brazil, Turkey, Italy",contact@infinitynextgenmgmt.com,+55 11 789 0123
502,Champion Elite Solutions,"Athlete branding, transfer facilitation, scouting analytics","Gabriel Moscardo, Ethan Nwaneri","Brazil, England, Spain",contact@championelitesolutions.com,+44 20 678 9012
503,Visionary Football Consultancy,"Club negotiations, media strategy, contract renewals","Ousmane Diomande, Romeo Lavia","Ivory Coast, Belgium, France",contact@visionaryfootballconsultancy.com,+225 20 456 7890
504,Dominance Global Talent,"Career mentorship, sponsorship acquisition, performance analytics","Matheus Gonçalves, Gabriele Biancheri","Brazil, Italy, England",contact@dominanceglobaltalent.com,+55 21 345 6789
505,Summit Future Prospects,"Athlete development, scouting reports, club transfers","Valentin Barco, Angelo Gabriel","Argentina, Brazil, Portugal",contact@summitfutureprospects.com,+54 9 11 678 9012
506,Elite Sports Evolution,"Market analysis, sponsorship deals, financial planning","Lewis Miley, Roony Bardghji","England, Sweden, Netherlands",contact@elitesportsevolution.com,+46 8 789 0123
507,Visionary Football Network,"Tactical consulting, legal advisory, strategic branding","Ethan Nwaneri, Malick Fofana","England, Belgium, Spain",contact@visionaryfootballnetwork.com,+44 20 567 8901
508,Prime Edge Sports,"Scouting analytics, contract structuring, sponsorship planning","João Neves, Arda Güler","Portugal, Turkey, Spain",contact@primeedgesports.com,+351 22 789 0123
509,Summit Pro Athletes,"Performance training, career mentorship, brand marketing","Lamine Yamal, Ethan Nwaneri","Spain, England, France",contact@summitproathletes.com,+34 6 678 9012
510,Legacy Football Solutions,"Club negotiations, sponsorship acquisition, media strategy","Endrick, Kenan Yıldız","Brazil, Turkey, Germany",contact@legacyfootballsolutions.com,+55 11 345 6789
511,Infinity Sports Evolution,"Tactical consulting, scouting operations, financial advisory","Valentin Barco, Gabriel Moscardo","Argentina, Brazil, Spain",contact@infinitysportsevolution.com,+54 9 11 456 7890
512,Champion Global Talent,"Legal representation, career guidance, international transfers","Gabriele Biancheri, Claudio Echeverri","Italy, Argentina, England",contact@championglobaltalent.com,+39 6 789 0123
513,Visionary Sports Consultancy,"Market analysis, youth scouting, contract renewal negotiations","Ousmane Diomande, Warren Zaïre-Emery","Ivory Coast, France, Portugal",contact@visionarysportsconsultancy.com,+225 20 567 8901
514,Dominance Elite Representation,"Player branding, sponsorship brokering, performance analytics","Matheus Gonçalves, Roony Bardghji","Brazil, Sweden, Spain",contact@dominanceeliterepresentation.com,+55 21 678 2345
515,Summit Future Sports,"Scouting reports, media relations, athlete branding","Romeo Lavia, Malick Fofana","Belgium, England, Germany",contact@summitfuturesports.com,+32 4 567 8901
516,Elite Performance Solutions,"Youth development, sponsorship strategy, strategic branding","Lewis Miley, Ethan Nwaneri","England, Spain, Netherlands",contact@eliteperformancesolutions.com,+44 20 678 9012
517,Visionary Football Excellence,"Athlete mentorship, digital marketing, sponsorship deals","Endrick, Gabriel Moscardo","Brazil, France, Spain",contact@visionaryfootballexcellence.com,+55 11 345 6789
518,Pinnacle Global Sports,"Player scouting, financial advisory, brand management","Lamine Yamal, João Neves","Spain, Portugal, England",contact@pinnacleglobalsports.com,+34 6 345 6789
519,Summit Elite Athletes,"Contract negotiations, career mentorship, sponsorship facilitation","Kenan Yıldız, Claudio Echeverri","Turkey, Argentina, Germany",contact@summiteliteathletes.com,+49 30 567 8901
520,Legacy Sports Representation,"Media relations, club networking, legal consulting","Ethan Nwaneri, Warren Zaïre-Emery","England, France, Italy",contact@legacysportsrep.com,+44 20 678 9012
521,Infinity Pro Management,"Athlete branding, tactical advisory, performance evaluation","Gabriel Moscardo, Matheus Gonçalves","Brazil, Spain, France",contact@infinitypromanagement.com,+55 11 456 7890
522,Champion Sports Advisory,"Sponsorship negotiation, youth development, strategic planning","Ousmane Diomande, Roony Bardghji","Ivory Coast, Sweden, Netherlands",contact@championsportsadvisory.com,+225 20 567 8901
523,Visionary Talent Group,"Club transfers, financial consulting, scouting analytics","Endrick, Lewis Miley","Brazil, England, Germany",contact@visionarytalentgroup.com,+55 11 345 6789
524,Dominance Global Representation,"Legal advisory, contract renewals, media training","Malick Fofana, Valentin Barco","Belgium, Argentina, Spain",contact@dominanceglobalrep.com,+32 4 678 9012
525,Summit Future Champions,"Performance training, international transfers, brand consulting","Gabriele Biancheri, Ethan Nwaneri","Italy, England, Netherlands",contact@summitfuturechampions.com,+39 6 789 0123
526,Elite Performance Athletes,"Youth scouting, career guidance, tactical development","Warren Zaïre-Emery, Claudio Echeverri","France, Argentina, Spain",contact@eliteperformanceathletes.com,+33 7 456 7890
527,Visionary Football Evolution,"Sponsorship brokering, strategic branding, club negotiations","Kenan Yıldız, Gabriel Moscardo","Turkey, Brazil, Portugal",contact@visionaryfootballevolution.com,+90 505 234 5678
528,Pinnacle Sports Elite,"Scouting reports, contract negotiations, media relations","Lamine Yamal, Claudio Echeverri","Spain, Argentina, France",contact@pinnaclesportselite.com,+34 6 123 4567
529,Summit Global Representation,"Athlete branding, sponsorship deals, club transfers","Vitor Roque, João Neves","Brazil, Portugal, Spain",contact@summitglobalrep.com,+351 22 678 9012
530,Legacy Pro Football,"Legal representation, talent scouting, performance analysis","Warren Zaïre-Emery, Malick Fofana","France, Belgium, Germany",contact@legacyprofootball.com,+33 7 456 7890
531,Infinity NextGen Talent,"Market analysis, digital marketing, youth development","Endrick, Kenan Yıldız","Brazil, Turkey, Italy",contact@infinitynextgentalent.com,+55 11 789 0123
532,Champion Elite Solutions,"Player negotiations, scouting analytics, international transfers","Gabriel Moscardo, Ethan Nwaneri","Brazil, England, Spain",contact@championelitesolutions.com,+44 20 678 9012
533,Visionary Football Network,"Club negotiations, performance consulting, contract renewals","Ousmane Diomande, Romeo Lavia","Ivory Coast, Belgium, France",contact@visionaryfootballnetwork.com,+225 20 456 7890
534,Dominance Global Talent,"Athlete mentorship, sponsorship brokering, financial planning","Matheus Gonçalves, Gabriele Biancheri","Brazil, Italy, England",contact@dominanceglobaltalent.com,+55 21 345 6789
535,Summit Future Prospects,"Talent scouting, media representation, market valuation","Valentin Barco, Angelo Gabriel","Argentina, Brazil, Portugal",contact@summitfutureprospects.com,+54 9 11 678 9012
536,Elite Performance Solutions,"Youth recruitment, sponsorship strategy, strategic branding","Lewis Miley, Ethan Nwaneri","England, Spain, Netherlands",contact@eliteperformancesolutions.com,+44 20 678 9012
537,Visionary Football Excellence,"Career guidance, digital marketing, sponsorship facilitation","Endrick, Gabriel Moscardo","Brazil, France, Spain",contact@visionaryfootballexcellence.com,+55 11 345 6789
538,Prime Edge Talent Management,"Scouting analytics, sponsorship planning, legal advisory","João Neves, Warren Zaïre-Emery","Portugal, France, England",contact@primeedgetalent.com,+351 22 678 9012
539,Summit Pro Sports,"Player representation, brand partnerships, career development","Kenan Yıldız, Claudio Echeverri","Turkey, Argentina, Germany",contact@summitprosports.com,+90 505 234 5678
540,Legacy Football Advisory,"Contract structuring, club networking, financial planning","Ethan Nwaneri, Malick Fofana","England, Belgium, Spain",contact@legacyfootballadvisory.com,+44 20 678 9012
541,Infinity Sports Consultancy,"Athlete branding, performance analytics, international transfers","Gabriel Moscardo, Matheus Gonçalves","Brazil, Spain, France",contact@infinitysportsconsultancy.com,+55 11 456 7890
542,Champion Sports Representation,"Sponsorship deals, youth development, market analysis","Ousmane Diomande, Roony Bardghji","Ivory Coast, Sweden, Netherlands",contact@championsportsrep.com,+225 20 567 8901
543,Visionary Talent Solutions,"Club negotiations, tactical consulting, scouting reports","Endrick, Lewis Miley","Brazil, England, Germany",contact@visionarytalentsolutions.com,+55 11 345 6789
544,Dominance Football Group,"Legal advisory, sponsorship brokering, media training","Malick Fofana, Valentin Barco","Belgium, Argentina, Spain",contact@dominancefootballgroup.com,+32 4 678 9012
545,Summit Future Legends,"Performance coaching, player branding, contract negotiations","Gabriele Biancheri, Ethan Nwaneri","Italy, England, Netherlands",contact@summitfuturelegends.com,+39 6 789 0123
546,Elite Performance Athletes,"Youth development, career mentorship, tactical development","Warren Zaïre-Emery, Claudio Echeverri","France, Argentina, Spain",contact@eliteperformanceathletes.com,+33 7 456 7890
547,Visionary Football Evolution,"Sponsorship negotiations, international transfers, contract renewals","Kenan Yıldız, Gabriel Moscardo","Turkey, Brazil, Portugal",contact@visionaryfootballevolution.com,+90 505 234 5678
548,Pinnacle Global Talent,"Contract negotiations, player branding, financial consulting","Lamine Yamal, João Neves","Spain, Portugal, England",contact@pinnacleglobaltalent.com,+34 6 789 0123
549,Summit Elite Representation,"Scouting operations, sponsorship planning, career development","Kenan Yıldız, Claudio Echeverri","Turkey, Argentina, Germany",contact@summiteliterep.com,+49 30 567 8901
550,Legacy Sports Management,"Athlete mentorship, club negotiations, tactical analysis","Ethan Nwaneri, Warren Zaïre-Emery","England, France, Italy",contact@legacysportsmgmt.com,+44 20 678 9012
551,Infinity Pro Talent,"Performance analytics, financial advisory, international transfers","Gabriel Moscardo, Matheus Gonçalves","Brazil, Spain, France",contact@infinityprotalent.com,+55 11 456 7890
552,Champion Sports Group,"Sponsorship negotiations, youth scouting, strategic consulting","Ousmane Diomande, Roony Bardghji","Ivory Coast, Sweden, Netherlands",contact@championsportsgroup.com,+225 20 567 8901
553,Visionary Talent Management,"Legal consulting, transfer market analysis, scouting reports","Endrick, Lewis Miley","Brazil, England, Germany",contact@visionarytalentmgmt.com,+55 11 345 6789
554,Dominance Sports Advisory,"Contract renewals, sponsorship deals, media training","Malick Fofana, Valentin Barco","Belgium, Argentina, Spain",contact@dominancesportsadvisory.com,+32 4 678 9012
555,Summit Future Stars,"Player branding, club networking, market analysis","Gabriele Biancheri, Ethan Nwaneri","Italy, England, Netherlands",contact@summitfuturestars.com,+39 6 789 0123
556,Elite Performance Consultants,"Youth development, financial strategy, athlete marketing","Warren Zaïre-Emery, Claudio Echeverri","France, Argentina, Spain",contact@eliteperformanceconsultants.com,+33 7 456 7890
557,Visionary Football Excellence,"Sponsorship acquisition, contract structuring, performance coaching","Kenan Yıldız, Gabriel Moscardo","Turkey, Brazil, Portugal",contact@visionaryfootballexcellence.com,+90 505 234 5678
558,Prime Edge Football,"Scouting analytics, contract structuring, sponsorship negotiations","Lamine Yamal, Endrick","Spain, Brazil, England",contact@primeedgefootball.com,+34 6 123 4567
559,Summit Pro Athletes,"Career mentorship, performance training, financial consulting","João Neves, Claudio Echeverri","Portugal, Argentina, Italy",contact@summitproathletes.com,+351 22 678 9012
560,Legacy Global Management,"Youth development, player branding, sponsorship planning","Ethan Nwaneri, Gabriel Moscardo","England, Brazil, Germany",contact@legacyglobalmgmt.com,+44 20 678 9012
561,Infinity Sports Consultancy,"Legal advisory, club transfers, tactical development","Matheus Gonçalves, Kenan Yıldız","Brazil, Turkey, France",contact@infinitysportsconsultancy.com,+55 11 456 7890
562,Champion Talent Representation,"Market analysis, sponsorship acquisition, scouting reports","Ousmane Diomande, Valentin Barco","Ivory Coast, Argentina, Spain",contact@championtalentrep.com,+225 20 567 8901
563,Visionary Football Group,"Contract renewals, financial strategy, career planning","Warren Zaïre-Emery, Roony Bardghji","France, Sweden, Netherlands",contact@visionaryfootballgroup.com,+33 7 456 7890
564,Dominance NextGen Sports,"Athlete branding, performance consulting, sponsorship brokering","Ethan Nwaneri, Gabriel Moscardo","England, Brazil, Portugal",contact@dominancenextgensports.com,+32 4 678 9012
565,Summit Future Legends,"Scouting analytics, media training, club negotiations","Claudio Echeverri, João Neves","Argentina, Portugal, Italy",contact@summitfuturelegends.com,+39 6 789 0123
566,Elite Performance Solutions,"Player recruitment, digital marketing, market valuation","Kenan Yıldız, Lamine Yamal","Turkey, Spain, France",contact@eliteperformancesolutions.com,+90 505 234 5678
567,Visionary Sports Evolution,"Tactical consulting, club networking, sponsorship deals","Warren Zaïre-Emery, Endrick","France, Brazil, England",contact@visionarysportsevolution.com,+55 11 345 6789
568,Pinnacle Global Sports,"Scouting analytics, career planning, financial advisory","João Neves, Warren Zaïre-Emery","Portugal, France, England",contact@pinnacleglobalsports.com,+351 22 678 9012
569,Summit Elite Athletes,"Contract negotiations, sponsorship planning, performance training","Kenan Yıldız, Claudio Echeverri","Turkey, Argentina, Germany",contact@summiteliteathletes.com,+49 30 567 8901
570,Legacy Sports Representation,"Athlete mentorship, club negotiations, media strategy","Ethan Nwaneri, Malick Fofana","England, Belgium, Spain",contact@legacysportsrep.com,+44 20 678 9012
571,Infinity Pro Management,"Performance analytics, financial consulting, international transfers","Gabriel Moscardo, Matheus Gonçalves","Brazil, Spain, France",contact@infinitypromanagement.com,+55 11 456 7890
572,Champion Sports Advisory,"Sponsorship negotiations, youth scouting, strategic consulting","Ousmane Diomande, Roony Bardghji","Ivory Coast, Sweden, Netherlands",contact@championsportsadvisory.com,+225 20 567 8901
573,Visionary Talent Group,"Legal consulting, transfer market analysis, scouting reports","Endrick, Lewis Miley","Brazil, England, Germany",contact@visionarytalentgroup.com,+55 11 345 6789
574,Dominance Global Representation,"Contract renewals, sponsorship deals, media training","Malick Fofana, Valentin Barco","Belgium, Argentina, Spain",contact@dominanceglobalrep.com,+32 4 678 9012
575,Summit Future Champions,"Player branding, club networking, market analysis","Gabriele Biancheri, Ethan Nwaneri","Italy, England, Netherlands",contact@summitfuturechampions.com,+39 6 789 0123
576,Elite Performance Athletes,"Youth development, career mentorship, tactical development","Warren Zaïre-Emery, Claudio Echeverri","France, Argentina, Spain",contact@eliteperformanceathletes.com,+33 7 456 7890
577,Visionary Football Evolution,"Sponsorship negotiations, international transfers, contract renewals","Kenan Yıldız, Gabriel Moscardo","Turkey, Brazil, Portugal",contact@visionaryfootballevolution.com,+90 505 234 5678
568,Pinnacle Global Sports,"Scouting analytics, career planning, financial advisory","João Neves, Warren Zaïre-Emery","Portugal, France, England",contact@pinnacleglobalsports.com,+351 22 678 9012
569,Summit Elite Athletes,"Contract negotiations, sponsorship planning, performance training","Kenan Yıldız, Claudio Echeverri","Turkey, Argentina, Germany",contact@summiteliteathletes.com,+49 30 567 8901
570,Legacy Sports Representation,"Athlete mentorship, club negotiations, media strategy","Ethan Nwaneri, Malick Fofana","England, Belgium, Spain",contact@legacysportsrep.com,+44 20 678 9012
571,Infinity Pro Management,"Performance analytics, financial consulting, international transfers","Gabriel Moscardo, Matheus Gonçalves","Brazil, Spain, France",contact@infinitypromanagement.com,+55 11 456 7890
572,Champion Sports Advisory,"Sponsorship negotiations, youth scouting, strategic consulting","Ousmane Diomande, Roony Bardghji","Ivory Coast, Sweden, Netherlands",contact@championsportsadvisory.com,+225 20 567 8901
573,Visionary Talent Group,"Legal consulting, transfer market analysis, scouting reports","Endrick, Lewis Miley","Brazil, England, Germany",contact@visionarytalentgroup.com,+55 11 345 6789
574,Dominance Global Representation,"Contract renewals, sponsorship deals, media training","Malick Fofana, Valentin Barco","Belgium, Argentina, Spain",contact@dominanceglobalrep.com,+32 4 678 9012
575,Summit Future Champions,"Player branding, club networking, market analysis","Gabriele Biancheri, Ethan Nwaneri","Italy, England, Netherlands",contact@summitfuturechampions.com,+39 6 789 0123
576,Elite Performance Athletes,"Youth development, career mentorship, tactical development","Warren Zaïre-Emery, Claudio Echeverri","France, Argentina, Spain",contact@eliteperformanceathletes.com,+33 7 456 7890
577,Visionary Football Evolution,"Sponsorship negotiations, international transfers, contract renewals","Kenan Yıldız, Gabriel Moscardo","Turkey, Brazil, Portugal",contact@visionaryfootballevolution.com,+90 505 234 5678
